State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
MN,Norman County,2509,148302,175,7673,99,4467,-76,-3.029,4.3,531,706,9.85,95327
MS,Franklin County,2508,143591,134,5412,144,7006,10,0.399,6.0,528,661,5.0,77188
KY,Lyon County,2508,149442,245,10106,227,14633,-18,-0.718,5.1,471,620,5.0,129560
SC,Allendale County,2507,94785,182,5197,147,3693,-35,-1.396,5.8,517,688,7.0,55511
TX,San Augustine County,2507,112322,175,6160,174,10122,-1,-0.04,6.5,552,734,0.0,87968
CO,Lake County,2501,139652,343,14637,435,19875,92,3.679,2.6,829,1002,4.63,220690
GA,Seminole County,2494,115098,182,6072,161,5785,-21,-0.842,5.3,531,706,5.75,82170
WY,Weston County,2488,158856,162,8110,155,8083,-7,-0.281,,694,841,0.0,188206
VA,King and Queen County,2484,136646,218,8620,218,8403,0,0.0,3.0,833,1022,5.75,182515
ID,Boise County,2482,160757,289,17172,391,31172,102,4.11,4.2,711,910,6.925,221470
TN,Perry County,2480,126614,108,3357,157,6600,49,1.976,4.3,489,644,0.0,91668
MS,Benton County,2478,99273,243,7869,226,7481,-17,-0.686,5.6,576,661,5.0,72642
AR,Montgomery County,2458,106907,159,5721,182,10323,23,0.936,4.8,489,651,6.9,100986
GA,Taylor County,2458,115006,179,6479,160,5354,-19,-0.773,6.5,574,659,5.75,70036
MS,Jefferson County,2457,84514,166,5462,113,3660,-53,-2.157,13.3,528,661,5.0,59002
MO,Dade County,2447,107483,160,4941,184,7880,24,0.981,2.7,510,678,5.4,79552
TX,Jack County,2434,141567,223,9196,213,11788,-10,-0.411,2.5,768,968,0.0,87431
WV,Webster County,2434,137105,100,3092,101,3415,1,0.041,6.3,549,730,6.5,70624
ID,Power County,2433,101425,175,7208,189,7106,14,0.575,2.9,598,795,6.925,147412
VA,Surry County,2431,135673,163,8217,184,8871,21,0.864,3.5,610,748,5.75,179137
KY,Martin County,2430,84168,131,5470,85,3203,-46,-1.893,6.5,540,620,5.0,69049
OR,Lake County,2429,125297,183,8812,206,7900,23,0.947,5.7,539,697,9.9,135401
MN,Cook County,2425,143265,141,6731,161,14284,20,0.825,3.5,749,860,9.85,260022
OR,Grant County,2421,118750,148,5752,175,9263,27,1.115,7.3,607,697,9.9,170929
NE,Kearney County,2420,161781,186,7657,168,6505,-18,-0.744,2.1,625,785,6.84,136247
GA,Hancock County,2419,95510,157,5852,164,7353,7,0.289,6.0,495,659,5.75,70355
GA,Lanier County,2414,102890,339,10567,329,10395,-10,-0.414,4.4,598,760,5.75,105006
TX,Goliad County,2411,161066,176,9733,192,11355,16,0.664,3.8,792,970,0.0,133845
TX,Dallam County,2411,125326,315,13037,206,9571,-109,-4.521,2.0,705,810,0.0,82705
IA,Decatur County,2409,141820,193,7289,154,5682,-39,-1.619,2.2,492,650,8.53,80585
KS,Grant County,2406,144505,196,9047,120,3973,-76,-3.159,2.8,524,697,5.7,106097
WV,Clay County,2403,108254,138,5140,105,3377,-33,-1.373,8.4,688,835,6.5,78637
AR,Cleveland County,2400,138763,172,6624,163,6393,-9,-0.375,3.9,568,731,6.9,90337
NE,Howard County,2400,124888,128,5180,144,7391,16,0.667,3.0,504,670,6.84,126712
MT,Teton County,2399,122337,128,5048,135,5546,7,0.292,3.4,600,798,6.9,171593
TN,Clay County,2389,96929,140,3436,173,6443,33,1.381,5.0,476,613,0.0,98310
NE,Antelope County,2378,126571,120,4689,110,4501,-10,-0.421,2.4,569,653,6.84,83168
UT,Kane County,2376,136576,203,8114,293,14302,90,3.788,3.2,747,977,4.95,208484
CO,Conejos County,2374,100926,163,6645,120,4579,-43,-1.811,4.4,604,697,4.63,126316
MO,Shannon County,2370,87570,168,4804,153,4809,-15,-0.633,5.0,482,641,5.4,106559
KS,Mitchell County,2365,123098,120,5331,84,2875,-36,-1.522,2.3,524,697,5.7,88448
KY,Nicholas County,2361,102461,130,3662,137,4803,7,0.296,4.6,466,620,5.0,86549
PA,Sullivan County,2351,135706,137,5706,122,6042,-15,-0.638,5.0,561,697,3.07,154854
NE,Nemaha County,2350,153961,140,7350,149,6443,9,0.383,3.4,535,653,6.84,121415
TX,Refugio County,2348,117758,215,9476,166,7988,-49,-2.087,4.7,671,770,0.0,86787
IL,Putnam County,2346,161095,145,6391,162,7221,17,0.725,5.2,586,779,4.95,123416
MN,Grant County,2330,138025,160,9140,130,6754,-30,-1.288,4.0,607,697,9.85,112992
SD,Moody County,2326,140457,142,9896,137,5638,-5,-0.215,3.0,557,660,0.0,124148
GA,Montgomery County,2323,119153,206,7956,216,6975,10,0.43,5.7,574,659,5.75,81425
OR,Harney County,2321,103106,156,7181,163,6842,7,0.302,6.2,586,697,9.9,123082
IA,Osceola County,2314,126078,145,7125,123,4742,-22,-0.951,1.9,489,650,8.53,94527
SD,Spink County,2311,140264,133,6369,113,5961,-20,-0.865,3.5,513,682,0.0,80712
IL,Edwards County,2301,135994,126,4524,129,4215,3,0.13,4.5,579,670,4.95,75092
MO,Shelby County,2298,107507,95,2834,97,3480,2,0.087,3.0,487,641,5.4,73877
MO,Clark County,2289,110785,155,5870,152,6745,-3,-0.131,3.9,496,641,5.4,89325
TX,Winkler County,2285,295701,208,14632,257,11938,49,2.144,2.8,553,697,0.0,62512
AR,Searcy County,2282,78218,133,3396,151,6334,18,0.789,4.3,508,633,6.9,93482
NE,Clay County,2281,153177,117,5128,144,5063,27,1.184,3.1,569,653,6.84,90054
VT,Essex County,2279,101084,177,5280,186,7537,9,0.395,3.6,645,823,8.75,134687
TX,Brooks County,2275,80047,142,4768,116,4112,-26,-1.143,6.5,553,697,0.0,66486
MO,Gentry County,2270,102688,126,3835,116,3866,-10,-0.441,2.4,482,641,5.4,89955
MT,Pondera County,2268,104391,137,5157,118,3807,-19,-0.838,4.1,607,697,6.9,133790
WV,Doddridge County,2258,140938,156,6571,99,4681,-57,-2.524,4.0,512,681,6.5,109344
