State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
GA,Jefferson County,5327,235057,297,9319,260,10295,-37,-0.695
NY,Tioga County,18684,1165723,1323,58973,1193,51452,-130,-0.696
VA,Smyth County,9994,467180,477,16561,407,13958,-70,-0.7
PA,Fulton County,5705,322026,298,16050,258,11063,-40,-0.701
KS,Wyandotte County,52603,2472257,5306,230777,4937,196553,-369,-0.701
MS,Covington County,6128,282283,399,13758,356,12215,-43,-0.702
GA,Sumter County,8963,413114,531,22742,468,19583,-63,-0.703
OK,McCurtain County,9501,415569,500,17771,433,16060,-67,-0.705
NY,Nassau County,567572,75398637,29902,3266495,25896,2627221,-4006,-0.706
NY,Cattaraugus County,27586,1472647,1440,65141,1245,54659,-195,-0.707
IL,Ford County,5085,314102,361,17790,325,12353,-36,-0.708
CA,Imperial County,61426,2883438,2673,116467,2238,83986,-435,-0.708
MT,Prairie County,424,21545,25,938,22,714,-3,-0.708
MS,Perry County,3522,163766,274,11613,249,9560,-25,-0.71
KS,Sedgwick County,184693,13665707,10251,568541,8940,440075,-1311,-0.71
NY,Onondaga County,179844,13222164,8755,655834,7479,414774,-1276,-0.71
KS,Reno County,22105,1315464,1290,59792,1133,55583,-157,-0.71
MS,Neshoba County,9148,445615,514,17768,449,16182,-65,-0.711
NC,Tyrrell County,1262,47867,74,2424,65,1728,-9,-0.713
MO,Carroll County,3226,173678,161,5726,138,4442,-23,-0.713
ND,Burleigh County,36303,3208311,2770,158312,2510,132546,-260,-0.716
NE,Garden County,698,28275,36,1360,31,439,-5,-0.716
GA,Screven County,4192,198056,266,9197,236,9170,-30,-0.716
KY,Lyon County,2508,149442,245,10106,227,14633,-18,-0.718
MN,Pennington County,5429,338982,384,20355,345,13215,-39,-0.718
KS,Dickinson County,6963,380769,568,24116,518,22259,-50,-0.718
IN,Adams County,12371,719645,582,23350,493,18035,-89,-0.719
IA,Plymouth County,9593,711232,631,33995,562,25574,-69,-0.719
RI,Newport County,32927,3253954,3027,243831,2789,271974,-238,-0.723
TX,Knox County,1105,47713,80,3095,72,3093,-8,-0.724
MN,Red Lake County,1512,90371,92,3762,81,3153,-11,-0.728
OH,Putnam County,13737,976374,563,25146,463,19199,-100,-0.728
MI,Gratiot County,13458,726225,897,33297,799,31318,-98,-0.728
IA,O'Brien County,5330,357006,348,12903,309,12698,-39,-0.732
IL,Stephenson County,17850,1016895,950,47899,819,29809,-131,-0.734
KY,Carroll County,3537,187198,295,11493,269,9902,-26,-0.735
FL,Lafayette County,1899,87460,152,4843,138,5136,-14,-0.737
SD,Gregory County,1625,81932,67,2128,55,2142,-12,-0.738
PA,Snyder County,14749,833256,801,35625,692,28412,-109,-0.739
IL,Jo Daviess County,9443,608481,602,27047,532,34910,-70,-0.741
SD,Jackson County,810,32636,56,1865,50,1442,-6,-0.741
NE,Brown County,1080,43834,62,2505,54,2621,-8,-0.741
SC,Orangeburg County,28098,1276804,1721,66364,1512,56842,-209,-0.744
NE,Kearney County,2420,161781,186,7657,168,6505,-18,-0.744
KS,Linn County,3355,175108,276,10732,251,14276,-25,-0.745
OK,Muskogee County,19998,1067975,1526,60025,1377,53669,-149,-0.745
NY,Richmond County,182437,14852529,9912,733283,8544,461465,-1368,-0.75
ND,Sargent County,1595,102624,105,4492,93,4217,-12,-0.752
WV,Mercer County,19157,924086,979,36376,835,29525,-144,-0.752
TN,Crockett County,4775,241187,330,12785,294,12777,-36,-0.754
MO,Caldwell County,3043,176470,243,10353,220,8613,-23,-0.756
KY,Elliott County,1718,75819,93,2968,80,2280,-13,-0.757
NE,Boone County,2114,127337,102,4209,86,3512,-16,-0.757
SD,Hamlin County,1978,128388,147,6664,132,6859,-15,-0.758
OH,Hamilton County,313485,26584394,19799,1414192,17416,1114524,-2383,-0.76
WV,Wyoming County,5517,263366,225,9515,183,6293,-42,-0.761
WV,Hancock County,11437,629479,692,27521,605,22290,-87,-0.761
TX,Harris County,1519470,120110671,93935,6744329,82339,5181538,-11596,-0.763
NJ,Essex County,285587,29889325,21129,1779338,18948,1454366,-2181,-0.764
GA,Tift County,12684,687246,916,38016,819,30694,-97,-0.765
TN,Lauderdale County,7454,331196,458,15243,401,12098,-57,-0.765
IL,Adams County,25580,1683865,1088,48162,892,39405,-196,-0.766
MO,St. Clair County,2862,120492,210,6496,188,6725,-22,-0.769
TX,Starr County,20417,740898,683,26252,526,18773,-157,-0.769
IL,Union County,6215,345137,291,11964,243,10156,-48,-0.772
NY,Steuben County,35641,2251443,1952,119238,1677,92282,-275,-0.772
IN,Gibson County,12568,773991,760,37314,663,29135,-97,-0.772
GA,Taylor County,2458,115006,179,6479,160,5354,-19,-0.773
IN,Franklin County,8396,571270,584,24953,519,26793,-65,-0.774
KY,Clay County,4878,196594,258,8175,220,5820,-38,-0.779
AL,Barbour County,7176,322664,445,16473,389,15215,-56,-0.78
MN,Murray County,3333,199261,181,9625,155,7623,-26,-0.78
MN,Lac qui Parle County,2693,173083,122,5636,101,4597,-21,-0.78
CA,San Francisco County,380632,63823930,37668,5557260,34695,4234532,-2973,-0.781
ND,Burke County,896,68202,34,2121,27,1608,-7,-0.781
VA,Rappahannock County,2818,245346,222,12887,200,17236,-22,-0.781
MS,Smith County,4722,243605,314,10900,277,11823,-37,-0.784
KS,Rawlins County,1021,50484,32,1000,24,1691,-8,-0.784
KS,Jackson County,4845,272116,330,14695,292,13486,-38,-0.784
CO,Prowers County,3821,180931,234,9560,204,7013,-30,-0.785
PA,Mercer County,42568,2412020,1928,91427,1593,70321,-335,-0.787
TX,Dallas County,891292,77694769,74763,5026924,67752,4748091,-7011,-0.787
MO,Stoddard County,9518,506023,601,21310,526,19000,-75,-0.788
MS,Carroll County,3295,139505,246,10107,220,9556,-26,-0.789
VA,Brunswick County,5059,232514,338,14134,298,14635,-40,-0.791
TX,Matagorda County,12099,753905,915,51285,819,44546,-96,-0.793
IL,Sangamon County,79580,6127960,4114,229595,3482,167786,-632,-0.794
NY,Essex County,14108,854320,983,66701,871,52631,-112,-0.794
TN,Hardeman County,7792,322745,482,15504,420,14982,-62,-0.796
CA,Monterey County,153085,11671143,9275,867995,8057,595097,-1218,-0.796
NE,Polk County,2010,132657,127,5570,111,4585,-16,-0.796
IA,Carroll County,8027,604628,449,22007,385,16523,-64,-0.797
KY,Calloway County,11421,637555,945,33771,854,35039,-91,-0.797
AR,Sevier County,4767,212191,273,9513,235,8016,-38,-0.797
GA,Cobb County,254638,24794472,30250,2040077,28221,1741479,-2029,-0.797
MO,Pettis County,14517,743658,1023,38836,907,35363,-116,-0.799
IA,Greene County,3378,191512,190,8535,163,6470,-27,-0.799
CT,New London County,107353,8825677,6941,453399,6076,366859,-865,-0.806
MI,Chippewa County,12632,621087,688,29071,586,27765,-102,-0.807
NC,Scotland County,10379,468621,694,25318,610,20733,-84,-0.809
VA,Charlotte County,4074,189508,259,8883,226,9555,-33,-0.81
IL,Macon County,38715,2507237,1933,112445,1619,78821,-314,-0.811
NY,St. Lawrence County,35640,2007254,1521,73068,1232,65221,-289,-0.811
TX,Jackson County,4930,296364,379,17659,339,16100,-40,-0.811
WV,Pleasants County,2587,160122,117,4511,96,3660,-21,-0.812
NE,Buffalo County,17186,1230852,1303,77469,1163,54678,-140,-0.815
NJ,Union County,211779,21886409,15402,1186889,13672,1101577,-1730,-0.817
MN,Steele County,14653,983468,920,43420,800,39708,-120,-0.819
IL,Douglas County,7788,485271,536,24102,472,20704,-64,-0.822
IA,Muscatine County,16287,1067535,1005,52058,871,37814,-134,-0.823
MS,Jasper County,5470,254251,378,13312,333,12261,-45,-0.823
IA,Cerro Gordo County,16429,1133139,1033,51890,897,45961,-136,-0.828
IL,Marion County,14110,750891,759,32708,642,28912,-117,-0.829
SC,Calhoun County,4820,271864,382,15310,342,16855,-40,-0.83
IL,Moultrie County,5292,365201,400,15913,356,15766,-44,-0.831
MN,Benton County,14549,940897,1875,86504,1754,72489,-121,-0.832
TX,Nolan County,4807,263489,384,18319,344,15651,-40,-0.832
ND,McIntosh County,1081,48215,38,1781,29,1195,-9,-0.833
MS,Wayne County,6600,317180,340,12310,285,10394,-55,-0.833
CT,Hartford County,356776,31895948,19061,1470374,16087,1047692,-2974,-0.834
GA,McDuffie County,7074,346208,476,19034,417,19131,-59,-0.834
MS,Montgomery County,3354,150873,224,8439,196,7125,-28,-0.835
NM,Cibola County,7286,303704,476,16472,415,12781,-61,-0.837
KS,Ottawa County,2150,112802,147,6867,129,5854,-18,-0.837
ND,Bowman County,1194,92253,41,2063,31,1392,-10,-0.838
MT,Pondera County,2268,104391,137,5157,118,3807,-19,-0.838
NE,Morrill County,1664,85344,110,4226,96,3965,-14,-0.841
GA,Seminole County,2494,115098,182,6072,161,5785,-21,-0.842
AR,Hempstead County,6527,283389,407,15574,352,12551,-55,-0.843
CO,Summit County,12453,1178427,1892,118895,1787,184291,-105,-0.843
MS,Marion County,7475,290024,440,13876,377,13939,-63,-0.843
CA,Santa Cruz County,102561,10416906,6811,532984,5944,518792,-867,-0.845
GA,Richmond County,63016,3131556,7147,328446,6613,286633,-534,-0.847
NY,Chautauqua County,45935,2450941,1909,83373,1520,66570,-389,-0.847
IA,Palo Alto County,3408,186949,208,8707,179,7128,-29,-0.851
MN,Chippewa County,4694,287301,321,13456,281,11793,-40,-0.852
AR,Woodruff County,1993,87724,120,4304,103,3185,-17,-0.853
AR,Union County,13365,855674,723,41026,609,31284,-114,-0.853
AL,Butler County,6313,287883,341,11655,287,11470,-54,-0.855
KY,Fayette County,108789,8427504,9277,544938,8347,451070,-930,-0.855
TX,Mills County,1636,109736,107,4638,93,4732,-14,-0.856
IN,Grant County,23225,1170734,1272,53258,1073,40227,-199,-0.857
SD,Potter County,931,62577,38,1630,30,1304,-8,-0.859
CA,Humboldt County,44348,2697164,2945,130408,2563,104319,-382,-0.861
TX,Victoria County,31584,2092373,2099,114108,1827,89252,-272,-0.861
GA,Twiggs County,2669,114839,236,8414,213,7155,-23,-0.862
AR,Clark County,6265,331713,527,19698,473,15490,-54,-0.862
TX,Maverick County,19802,811341,869,32697,698,24751,-171,-0.864
SD,Spink County,2311,140264,133,6369,113,5961,-20,-0.865
MI,Saginaw County,71307,4096078,3788,182774,3168,142673,-620,-0.869
CA,San Mateo County,305494,60522998,26450,3976835,23794,3500170,-2656,-0.869
NE,Webster County,1265,61735,82,2847,71,2493,-11,-0.87
IL,Wabash County,4132,273060,219,8364,183,6713,-36,-0.871
MA,Middlesex County,624151,86407105,48934,4974179,43495,3823209,-5439,-0.871
AR,Lafayette County,1947,89508,154,4780,137,4472,-17,-0.873
NJ,Mercer County,136411,15814379,9782,991895,8591,682190,-1191,-0.873
SD,Davison County,7560,497954,542,24686,476,20777,-66,-0.873
TX,Baylor County,1144,62835,70,2676,60,2036,-10,-0.874
IA,Chickasaw County,4678,299165,244,9052,203,7691,-41,-0.876
IL,Marshall County,4682,287816,336,13826,295,12445,-41,-0.876
MN,Stevens County,3420,241462,225,9194,195,8948,-30,-0.877
IA,Clay County,6381,439750,440,20651,384,17307,-56,-0.878
PA,Indiana County,29077,1737124,1476,68347,1220,50129,-256,-0.88
IN,LaGrange County,13407,856136,868,45407,750,42280,-118,-0.88
NE,Jefferson County,2713,158480,158,6922,134,5362,-24,-0.885
OK,Beckham County,6201,384265,501,24589,446,21412,-55,-0.887
SD,Faulk County,788,45243,37,1543,30,1718,-7,-0.888
OH,Pike County,8901,447715,547,23466,468,17947,-79,-0.888
IA,Hardin County,6186,338942,419,20355,364,15925,-55,-0.889
OK,Blaine County,2925,245215,219,13710,193,10148,-26,-0.889
OH,Holmes County,14121,855002,693,30110,567,24284,-126,-0.892
GA,Macon County,3363,141068,243,8048,213,6995,-30,-0.892
MO,Ripley County,3910,150974,283,8446,248,9736,-35,-0.895
AR,Scott County,3016,123584,216,6808,189,7473,-27,-0.895
TX,Angelina County,27921,1549365,1824,81855,1572,69909,-252,-0.903
IA,Wright County,4647,265328,285,12539,243,9946,-42,-0.904
CA,Los Angeles County,3732877,330740878,154210,11436416,120440,8511638,-33770,-0.905
OH,Monroe County,5071,350981,229,10368,183,9661,-46,-0.907
KS,Graham County,991,44442,52,1452,43,1367,-9,-0.908
PA,Union County,13691,976748,967,51419,842,48526,-125,-0.913
KY,Henderson County,15661,941033,887,45762,744,28970,-143,-0.913
NM,San Miguel County,8968,349539,565,21057,483,19052,-82,-0.914
IA,Floyd County,5798,347821,407,18126,354,14154,-53,-0.914
OH,Harrison County,5243,311144,331,13585,283,11300,-48,-0.916
OH,Noble County,4365,250675,226,8785,186,8113,-40,-0.916
NY,Yates County,8914,504204,575,26243,493,25960,-82,-0.92
IL,Randolph County,10975,655467,600,28627,499,20132,-101,-0.92
TX,Tom Green County,39535,2663028,3586,160994,3222,144999,-364,-0.921
NE,Hitchcock County,976,42962,63,1833,54,2499,-9,-0.922
NE,Platte County,13120,850423,841,40405,720,31749,-121,-0.922
NE,Loup County,217,7019,23,831,21,1365,-2,-0.922
IL,Jersey County,8016,518807,561,22959,487,20713,-74,-0.923
MT,Glacier County,3894,159345,227,11901,191,7164,-36,-0.924
CT,Fairfield County,357116,69375082,21235,3017316,17929,2869252,-3306,-0.926
IL,Crawford County,7001,422279,310,14813,245,10655,-65,-0.928
MS,Holmes County,5702,188692,306,9304,253,7929,-53,-0.929
TX,Wichita County,41031,2543018,3529,168904,3146,156180,-383,-0.933
TX,Marion County,2995,139390,308,11388,280,12645,-28,-0.935
PA,Erie County,103508,6196719,3881,196776,2913,142125,-968,-0.935
ND,Renville County,958,65003,53,4473,44,2608,-9,-0.939
FL,Leon County,93546,6558668,8667,397498,7786,372634,-881,-0.942
TX,Nacogdoches County,19086,1101243,1538,57494,1358,54719,-180,-0.943
KS,Montgomery County,10395,534447,692,26827,594,22306,-98,-0.943
MO,Boone County,59518,4530725,5176,259801,4614,219601,-562,-0.944
MN,Faribault County,5490,301098,318,15077,266,10325,-52,-0.947
MA,Hampshire County,57798,4716596,4734,256570,4186,230145,-548,-0.948
IA,Osceola County,2314,126078,145,7125,123,4742,-22,-0.951
TX,Scurry County,5044,356512,375,22837,327,19159,-48,-0.952
NJ,Hudson County,259098,20659718,27819,2821664,25347,2203853,-2472,-0.954
MD,Prince George's County,356130,23537391,30075,1664466,26676,1291788,-3399,-0.954
KS,Lincoln County,1148,51783,58,1343,47,1500,-11,-0.958
GA,Dodge County,5638,252816,357,10898,303,8108,-54,-0.958
MS,Clay County,6562,300132,382,12730,319,13935,-63,-0.96
WI,Grant County,18178,975965,1182,49652,1007,41075,-175,-0.963
ND,Logan County,727,26314,36,1599,29,1415,-7,-0.963
IL,DeKalb County,35265,2401855,3293,148854,2953,135873,-340,-0.964
MN,Winona County,17923,1190034,1124,77390,951,37671,-173,-0.965
NM,Chaves County,19472,993912,1173,58864,985,46883,-188,-0.965
AR,Columbia County,6941,394319,410,16416,343,12197,-67,-0.965
IA,Black Hawk County,46826,3191971,2880,147202,2427,112220,-453,-0.967
MS,Calhoun County,4651,193502,231,7273,186,6068,-45,-0.968
NE,Scotts Bluff County,12879,729436,793,34164,668,28508,-125,-0.971
AL,Sumter County,3699,144451,212,6952,176,6070,-36,-0.973
OH,Allen County,37524,2240492,2192,100147,1826,78006,-366,-0.975
IA,Marshall County,14405,890149,934,42598,793,31629,-141,-0.979
MS,Lafayette County,14989,1227316,1540,77257,1393,91943,-147,-0.981
AR,Arkansas County,6006,332596,329,12397,270,10647,-59,-0.982
NE,Johnson County,1627,82198,90,3548,74,2869,-16,-0.983
ND,Traill County,2948,224214,216,10712,187,10488,-29,-0.984
IA,Sac County,3860,237337,210,8446,172,7749,-38,-0.984
NC,Hertford County,6505,300684,401,14117,337,11297,-64,-0.984
IL,Lake County,262119,34324987,17962,1771734,15377,1338450,-2585,-0.986
AL,Franklin County,9332,447192,600,22586,508,19713,-92,-0.986
HI,Honolulu County,386851,29283945,24483,1419291,20668,1200118,-3815,-0.986
ID,Lewis County,1317,63146,151,5716,138,6161,-13,-0.987
NM,De Baca County,608,39500,29,1407,23,720,-6,-0.987
WV,Gilmer County,1921,107858,116,4341,97,3467,-19,-0.989
MO,Harrison County,2923,123320,149,5635,120,4190,-29,-0.992
ID,Latah County,12056,804393,1415,58567,1295,58908,-120,-0.995
KS,Wilson County,3015,154471,174,6202,144,5935,-30,-0.995
NC,Robeson County,37255,1490227,1837,64452,1465,48079,-372,-0.999
KY,Christian County,20792,1066215,3671,129429,3463,115877,-208,-1.0
KS,Anderson County,2696,132852,163,5767,136,5843,-27,-1.001
AL,Lowndes County,3688,153827,291,10278,254,9619,-37,-1.003
MO,Perry County,7146,397857,385,15407,313,13616,-72,-1.008
IN,Jay County,7529,353918,400,12801,324,10297,-76,-1.009
KS,Cowley County,11781,661904,765,28876,646,27858,-119,-1.01
NY,Albany County,120730,10474028,9564,655639,8341,539692,-1223,-1.013
OK,Harper County,1183,58992,49,1873,37,1314,-12,-1.014
IL,Richland County,5913,318411,324,13407,264,10168,-60,-1.015
AR,Howard County,4235,202232,291,10716,248,9046,-43,-1.015
NC,Bertie County,6102,303139,365,11693,303,9801,-62,-1.016
TX,Crockett County,1176,76769,73,3941,61,2444,-12,-1.02
IL,Vermilion County,26712,1410354,1338,57119,1065,38107,-273,-1.022
GA,Dooly County,2927,137361,216,8865,186,5425,-30,-1.025
AL,Pickens County,5852,292653,295,11397,235,9422,-60,-1.025
KY,Hickman County,1458,73947,100,3598,85,2664,-15,-1.029
WV,Logan County,9317,461372,408,15581,312,10856,-96,-1.03
MN,Kandiyohi County,16765,1137275,1038,50099,865,46914,-173,-1.032
KS,Douglas County,38652,2886843,3909,196567,3509,181475,-400,-1.035
PA,Cameron County,1930,91144,86,2684,66,2443,-20,-1.036
MT,Chouteau County,1736,88881,125,5793,107,4261,-18,-1.037
SC,Barnwell County,6642,323169,376,13344,307,10870,-69,-1.039
SC,Bamberg County,4133,183039,267,9369,224,8598,-43,-1.04
IA,Crawford County,6241,354185,388,15219,323,11859,-65,-1.041
MO,Adair County,7372,399881,653,25399,576,22942,-77,-1.044
CA,Santa Barbara County,158913,14271591,9761,701225,8098,641186,-1663,-1.046
NY,Lewis County,9613,513773,521,23084,420,19643,-101,-1.051
AR,Poinsett County,6839,312297,513,19180,441,13612,-72,-1.053
MN,Roseau County,5984,380384,305,14987,242,10786,-63,-1.053
KY,Perry County,7781,394208,389,14603,307,12120,-82,-1.054
SD,Haakon County,758,45046,38,699,30,938,-8,-1.055
IA,Davis County,2838,148986,159,8299,129,6003,-30,-1.057
MN,Rock County,3579,223448,203,8500,165,6990,-38,-1.062
FL,Hardee County,7530,333691,579,20545,499,18125,-80,-1.062
KY,McLean County,3103,168268,187,6095,154,6295,-33,-1.063
MT,Sheridan County,1502,85262,88,4061,72,2798,-16,-1.065
MN,Martin County,8246,474679,425,19458,337,13118,-88,-1.067
TX,Jim Wells County,12900,669774,921,40825,783,32987,-138,-1.07
NE,Hall County,23039,1506138,1664,76806,1417,54894,-247,-1.072
IA,Calhoun County,3639,213579,227,10140,188,8659,-39,-1.072
AR,Pulaski County,136703,10618022,10704,564337,9236,430216,-1468,-1.074
AR,Ouachita County,7541,376812,461,18552,380,15103,-81,-1.074
PA,Wyoming County,10686,684802,719,32046,604,24523,-115,-1.076
TX,Titus County,10411,565945,763,31684,651,29041,-112,-1.076
AR,Clay County,4631,199151,327,11052,277,9341,-50,-1.08
WV,Fayette County,13189,610097,788,27664,645,24730,-143,-1.084
KS,Ellsworth County,2119,116333,125,4567,102,3281,-23,-1.085
WV,Marshall County,11433,704301,636,30527,512,22402,-124,-1.085
VT,Chittenden County,67272,5835074,5157,305322,4426,275094,-731,-1.087
KS,Sheridan County,1012,43855,38,1701,27,859,-11,-1.087
IL,Perry County,7080,385757,398,14587,321,15162,-77,-1.088
TX,Runnels County,3492,186994,261,11514,223,10975,-38,-1.088
WI,Milwaukee County,346782,22130616,20458,1384211,16681,889499,-3777,-1.089
IL,Bond County,5506,319840,354,14734,294,12394,-60,-1.09
NJ,Passaic County,195065,13456805,12342,820874,10214,621325,-2128,-1.091
NJ,Cumberland County,52438,2926656,2572,116872,2000,96687,-572,-1.091
AZ,Coconino County,43997,3020851,4959,247737,4479,270112,-480,-1.091
KS,Comanche County,641,30234,27,1372,20,1062,-7,-1.092
KS,Sumner County,8006,470589,617,25233,529,23103,-88,-1.099
TX,Wheeler County,1724,98924,123,5072,104,5107,-19,-1.102
MO,Howard County,3443,183507,251,9678,213,9560,-38,-1.104
AL,Marengo County,6401,334692,393,17647,322,11895,-71,-1.109
SD,Hanson County,1530,100244,107,6247,90,4755,-17,-1.111
MS,Yazoo County,7457,319822,383,14131,300,10840,-83,-1.113
IA,Monona County,3321,188009,200,8140,163,7637,-37,-1.114
AR,Crittenden County,15789,782221,1114,44482,938,46137,-176,-1.115
NE,Dodge County,13635,827193,918,44102,766,38587,-152,-1.115
SD,Hughes County,6906,494710,543,30631,466,21644,-77,-1.115
AR,Lee County,2144,123622,169,4454,145,3706,-24,-1.119
IN,White County,9271,523207,772,33002,668,31632,-104,-1.122
IA,Montgomery County,3735,208313,269,12192,227,9268,-42,-1.124
AL,Monroe County,6314,305923,342,15260,271,11819,-71,-1.124
SD,Walworth County,2131,136716,114,4875,90,4350,-24,-1.126
IL,Cook County,2011039,178442056,100145,8657421,77478,5723827,-22667,-1.127
AR,Chicot County,3014,133132,209,6815,175,7136,-34,-1.128
MI,Washtenaw County,127037,12703939,12465,836654,11032,743866,-1433,-1.128
WV,Monongalia County,32214,2541792,3567,201790,3202,172762,-365,-1.133
MT,Daniels County,706,42971,28,1382,20,846,-8,-1.133
TN,Haywood County,6333,243587,408,14438,336,11637,-72,-1.137
NC,Halifax County,16608,733281,1043,38148,854,31076,-189,-1.138
NE,Chase County,1406,82057,68,3368,52,2412,-16,-1.138
IL,Warren County,6235,347080,422,18909,351,14150,-71,-1.139
TX,Brooks County,2275,80047,142,4768,116,4112,-26,-1.143
VA,Wise County,10571,507520,660,23602,539,18645,-121,-1.145
IL,Hancock County,6895,395245,431,17377,352,14196,-79,-1.146
ND,Dickey County,1913,106191,112,5299,90,4391,-22,-1.15
IL,DuPage County,359458,41385496,29457,2721910,25312,2047784,-4145,-1.153
KY,Lawrence County,4312,214400,302,11593,252,8708,-50,-1.16
NY,Broome County,71905,4423529,3698,185997,2864,126101,-834,-1.16
MN,Blue Earth County,23438,1572690,2399,105243,2127,95065,-272,-1.161
OK,Kiowa County,2584,109800,182,5360,152,5940,-30,-1.161
VA,Dickenson County,3870,179335,202,6701,157,4795,-45,-1.163
OK,Caddo County,8068,405570,609,24795,515,21933,-94,-1.165
KS,Stanton County,686,44745,31,1742,23,763,-8,-1.166
KS,Lyon County,11452,628499,784,30014,650,26499,-134,-1.17
KY,Floyd County,9901,472130,604,22100,488,18247,-116,-1.172
KS,Meade County,1449,93898,105,5245,88,4768,-17,-1.173
FL,Hendry County,12012,555928,1150,40697,1009,38173,-141,-1.174
MN,Jackson County,4075,243876,236,9136,188,7018,-48,-1.178
ND,Griggs County,932,59508,38,1837,27,980,-11,-1.18
WV,Boone County,6441,321556,333,13289,257,9326,-76,-1.18
SD,Grant County,2874,182450,154,8557,120,5900,-34,-1.183
IA,Mahaska County,7586,494659,517,23268,427,19285,-90,-1.186
SD,Codington County,10753,739580,740,33285,612,32375,-128,-1.19
AL,Montgomery County,75008,4705233,5533,315066,4639,232931,-894,-1.192
NE,Rock County,502,22159,35,1294,29,1152,-6,-1.195
KS,Thomas County,2846,164805,232,9399,198,9487,-34,-1.195
CA,Yolo County,68867,6029340,6737,406766,5914,357787,-823,-1.195
KS,Hodgeman County,669,35846,37,1721,29,1112,-8,-1.196
MI,Ingham County,95360,6529677,9008,487223,7866,360003,-1142,-1.198
IN,Vigo County,35904,2043066,2400,106523,1970,80058,-430,-1.198
OH,Henry County,11258,684399,679,28179,544,20629,-135,-1.199
AL,Hale County,4832,213670,351,12970,293,12272,-58,-1.2
SD,Corson County,917,36321,69,2976,58,1806,-11,-1.2
NM,Luna County,8077,289169,546,29646,449,14796,-97,-1.201
ND,Walsh County,4243,266457,253,14254,202,7769,-51,-1.202
ND,Grant County,914,45138,33,2028,22,961,-11,-1.204
NE,Dakota County,7455,403580,695,27890,605,20409,-90,-1.207
IN,Randolph County,9269,433071,597,20168,485,16995,-112,-1.208
NM,Quay County,2712,98358,175,7123,142,4377,-33,-1.217
PA,Centre County,48004,3830859,3474,186506,2890,168523,-584,-1.217
TX,Mitchell County,2133,119487,169,7115,143,6830,-26,-1.219
AL,Bibb County,6054,332129,450,18686,376,15189,-74,-1.222
IA,Webster County,12817,795486,832,37730,675,27874,-157,-1.225
MA,Nantucket County,5544,615699,463,33271,395,35978,-68,-1.227
NC,Edgecombe County,16619,735148,1388,41270,1184,35183,-204,-1.228
IL,Christian County,12362,726261,678,29663,526,19655,-152,-1.23
MS,Walthall County,4388,195228,305,11414,251,10592,-54,-1.231
IL,Clark County,5924,359125,331,13878,258,11689,-73,-1.232
TX,Brazos County,59514,4454692,6443,322714,5709,329118,-734,-1.233
PA,Greene County,12651,938170,574,29631,418,18844,-156,-1.233
IN,Tippecanoe County,58397,4388178,5063,246847,4339,211874,-724,-1.24
IA,Tama County,6526,378592,459,20220,378,16397,-81,-1.241
GA,Worth County,6361,296012,457,15404,378,14025,-79,-1.242
AR,Drew County,5392,303798,429,16364,362,13851,-67,-1.243
CA,Sonoma County,194193,17219249,11194,829442,8772,701383,-2422,-1.247
MD,Montgomery County,405113,52588069,32326,2887619,27259,2063951,-5067,-1.251
IA,Franklin County,3594,217979,215,9273,170,6542,-45,-1.252
NC,Onslow County,54993,2720364,11873,493754,11183,472510,-690,-1.255
MT,Hill County,5809,324730,407,15751,334,13635,-73,-1.257
AL,Wilcox County,3335,130558,208,5975,166,5865,-42,-1.259
GA,Terrell County,2929,127622,222,6720,185,6893,-37,-1.263
TX,Lamb County,4025,174889,306,12980,255,9634,-51,-1.267
OK,Johnston County,3074,156084,280,10273,241,8888,-39,-1.269
KS,Labette County,7246,345331,478,18754,386,14604,-92,-1.27
KS,Edwards County,1102,58170,65,2632,51,1781,-14,-1.27
FL,Alachua County,85305,5952208,8912,445746,7827,399171,-1085,-1.272
CO,Pitkin County,7535,1117017,928,85488,832,181121,-96,-1.274
MT,Powder River County,628,30785,28,1407,20,578,-8,-1.274
SD,Oglala Lakota County,3138,106290,227,7303,187,4572,-40,-1.275
MS,Kemper County,2973,114923,181,6877,143,5132,-38,-1.278
NE,Stanton County,2106,118541,177,7398,150,6390,-27,-1.282
MS,Lawrence County,3822,189083,248,14081,199,6793,-49,-1.282
KY,Bell County,6776,274981,415,13351,328,9942,-87,-1.284
NE,Cedar County,3190,186478,161,8413,120,4493,-41,-1.285
MN,Grant County,2330,138025,160,9140,130,6754,-30,-1.288
MT,Blaine County,2017,85109,131,4874,105,3428,-26,-1.289
IN,Blackford County,4498,215717,321,11760,263,9278,-58,-1.289
KS,Cloud County,3168,153779,224,6649,183,7263,-41,-1.294
IA,Union County,4399,238774,289,13329,232,8571,-57,-1.296
CA,Santa Clara County,742126,137755940,51481,7270493,41828,4644312,-9653,-1.301
MN,Clearwater County,2994,200234,179,8039,140,5014,-39,-1.303
TX,San Patricio County,22691,1356899,2525,122067,2228,108487,-297,-1.309
NJ,Middlesex County,318211,29698095,24936,1989830,20753,1502853,-4183,-1.315
IA,Emmet County,3492,199848,222,8936,176,6187,-46,-1.317
AZ,Greenlee County,2575,159682,252,16302,218,10433,-34,-1.32
SD,Brown County,14790,1073272,1063,55558,867,37378,-196,-1.325
WV,Nicholas County,7999,392041,411,15927,305,15318,-106,-1.325
