State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
CA,San Benito County,21706,1732592,1529,109869,1910,142750,381,1.755
NC,Iredell County,61595,4958454,4559,310981,5640,414468,1081,1.755
CO,Kiowa County,456,22707,21,617,29,1406,8,1.754
CO,Delta County,10302,524861,751,34145,929,47151,178,1.728
CO,Montrose County,14668,847038,1070,48714,1323,74152,253,1.725
TX,Van Zandt County,17095,993741,1402,69838,1696,87164,294,1.72
MN,Lake County,4185,255511,229,10849,301,16341,72,1.72
IN,Hendricks County,59416,4914037,5204,299206,6224,337156,1020,1.717
WV,Morgan County,6357,320139,396,17320,505,23861,109,1.715
KY,Meade County,9626,575555,1069,46482,1234,56173,165,1.714
AR,Baxter County,14071,759342,926,34661,1165,55850,239,1.699
GA,Bartow County,33131,2017287,2697,126354,3255,152508,558,1.684
TN,Dickson County,18301,1088879,1291,53133,1599,84349,308,1.683
CO,Teller County,9097,642303,1141,63832,1294,98442,153,1.682
WI,Forest County,3391,195237,125,4770,182,10555,57,1.681
WI,Sawyer County,6648,377435,419,21288,530,42810,111,1.67
GA,Lincoln County,2576,135708,136,5324,179,9695,43,1.669
WA,Ferry County,2108,111251,177,9220,212,10600,35,1.66
GA,McIntosh County,3623,180546,301,12337,361,18796,60,1.656
TX,Fort Bend County,240466,25001573,19762,1480164,23731,1672986,3969,1.651
GA,Candler County,3033,135326,227,7667,277,19193,50,1.649
AR,Randolph County,5343,234703,347,14223,435,14846,88,1.647
SD,Custer County,3341,218122,325,14385,380,24636,55,1.646
ID,Clearwater County,2738,146211,183,8157,228,9711,45,1.644
GA,Atkinson County,2255,85461,139,5503,176,5186,37,1.641
TN,Blount County,47263,3090535,3030,156466,3802,240454,772,1.633
NC,Henderson County,42251,2644293,3156,169335,3845,239749,689,1.631
SC,Georgetown County,22894,1604626,1640,91661,2012,167409,372,1.625
FL,Bradford County,7768,412975,616,24468,742,28602,126,1.622
MT,Granite County,1111,63593,96,4855,114,8544,18,1.62
SC,Kershaw County,22110,1278025,1393,62437,1751,84967,358,1.619
WA,Franklin County,28292,1723313,2637,132505,3094,150281,457,1.615
TN,Moore County,2171,140443,189,7330,224,9280,35,1.612
VA,Buckingham County,5094,245144,290,10677,372,16373,82,1.61
NC,McDowell County,14789,718159,684,29420,922,47640,238,1.609
FL,Suwannee County,12641,580805,1041,34681,1244,46573,203,1.606
NM,Sandoval County,50083,3280355,4263,242060,5067,308967,804,1.605
TN,Fentress County,5482,242125,307,11364,395,20115,88,1.605
