INTPTLAT,INTPTLNG,COUNTY NAME,USPS
42.572851,-116.18969,Owyhee County,ID
44.00243,-116.750238,Payette County,ID
42.694126,-112.844407,Power County,ID
47.347694,-115.885092,Shoshone County,ID
43.760994,-111.211765,Teton County,ID
42.352309,-114.665639,Twin Falls County,ID
44.85596,-115.618061,Valley County,ID
44.448223,-116.797792,Washington County,ID
39.986052,-91.194961,Adams County,IL
37.183658,-89.349516,Alexander County,IL
38.885924,-89.436592,Bond County,IL
42.318983,-88.824295,Boone County,IL
39.962069,-90.750309,Brown County,IL
41.401304,-89.528377,Bureau County,IL
39.164262,-90.666295,Calhoun County,IL
42.0709,-89.924189,Carroll County,IL
39.969202,-90.245704,Cass County,IL
40.138985,-88.196975,Champaign County,IL
39.545524,-89.279593,Christian County,IL
39.332334,-87.791683,Clark County,IL
38.746819,-88.482325,Clay County,IL
38.606295,-89.426228,Clinton County,IL
39.51368,-88.220782,Coles County,IL
41.894294,-87.645455,Cook County,IL
39.002787,-87.760619,Crawford County,IL
39.273121,-88.240619,Cumberland County,IL
41.894612,-88.768991,DeKalb County,IL
40.181499,-88.901853,De Witt County,IL
39.766078,-88.222866,Douglas County,IL
41.852058,-88.086039,DuPage County,IL
39.679037,-87.74711,Edgar County,IL
38.417095,-88.047941,Edwards County,IL
39.047945,-88.592849,Effingham County,IL
39.001125,-89.017923,Fayette County,IL
40.596539,-88.224588,Ford County,IL
37.991852,-88.926321,Franklin County,IL
40.46524,-90.202269,Fulton County,IL
37.768677,-88.227964,Gallatin County,IL
39.355439,-90.387682,Greene County,IL
41.29241,-88.401054,Grundy County,IL
38.085227,-88.539009,Hamilton County,IL
40.401318,-91.168801,Hancock County,IL
37.517852,-88.266148,Hardin County,IL
40.814471,-90.941246,Henderson County,IL
41.350021,-90.130838,Henry County,IL
40.748867,-87.833601,Iroquois County,IL
37.786096,-89.381212,Jackson County,IL
39.004874,-88.150763,Jasper County,IL
38.30078,-88.92421,Jefferson County,IL
39.080195,-90.361385,Jersey County,IL
42.362391,-90.21147,Jo Daviess County,IL
37.460709,-88.882131,Johnson County,IL
41.939594,-88.42804,Kane County,IL
41.13951,-87.861117,Kankakee County,IL
41.58814,-88.430626,Kendall County,IL
40.930945,-90.213792,Knox County,IL
42.326441,-87.435976,Lake County,IL
